State,Year,Runoff(mm),Runoff(in),Rank,Percentile
CA,1901,305.27,12.02,32,72.41
CA,1902,261.50,10.30,43,62.93
CA,1903,283.31,11.15,38,67.24
CA,1904,392.23,15.44,16,86.21
CA,1905,282.55,11.12,39,66.38
CA,1906,465.75,18.34,6,94.83
CA,1907,561.30,22.10,2,98.28
CA,1908,199.54,7.86,63,45.69
CA,1909,483.44,19.03,4,96.55
CA,1910,306.55,12.07,31,73.28
CA,1911,449.85,17.71,8,93.10
CA,1912,194.89,7.67,64,44.83
CA,1913,192.74,7.59,65,43.97
CA,1914,435.17,17.13,9,92.24
CA,1915,339.69,13.37,22,81.03
CA,1916,468.69,18.45,5,95.69
CA,1917,248.61,9.79,46,60.34
CA,1918,160.70,6.33,76,34.48
CA,1919,188.99,7.44,67,42.24
CA,1920,134.72,5.30,91,21.55
CA,1921,296.52,11.67,33,71.55
CA,1922,331.97,13.07,25,78.45
CA,1923,199.62,7.86,62,46.55
CA,1924,76.02,2.99,113,2.59
CA,1925,221.80,8.73,55,52.59
CA,1926,172.75,6.80,72,37.93
CA,1927,335.12,13.19,23,80.17
CA,1928,187.56,7.38,68,41.38
CA,1929,106.17,4.18,103,11.21
CA,1930,143.02,5.63,87,25.00
CA,1931,68.45,2.69,114,1.72
CA,1932,202.17,7.96,61,47.41
CA,1933,129.11,5.08,94,18.97
CA,1934,104.80,4.13,106,8.62
CA,1935,215.53,8.49,58,50.00
CA,1936,233.52,9.19,52,55.17
CA,1937,243.82,9.60,48,58.62
CA,1938,498.90,19.64,3,97.41
CA,1939,121.67,4.79,100,13.79
CA,1940,283.86,11.18,37,68.10
CA,1941,410.88,16.18,12,89.66
CA,1942,315.84,12.43,30,74.14
CA,1943,317.51,12.50,28,75.86
CA,1944,151.90,5.98,80,31.03
CA,1945,217.94,8.58,57,50.86
CA,1946,237.02,9.33,50,56.90
CA,1947,131.86,5.19,92,20.69
CA,1948,173.43,6.83,71,38.79
CA,1949,154.60,6.09,79,31.90
CA,1950,169.87,6.69,74,36.21
CA,1951,288.59,11.36,36,68.97
CA,1952,401.18,15.79,13,88.79
CA,1953,253.31,9.97,44,62.07
CA,1954,233.05,9.18,53,54.31
CA,1955,129.64,5.10,93,19.83
CA,1956,384.13,15.12,17,85.34
CA,1957,175.10,6.89,69,40.52
CA,1958,424.46,16.71,11,90.52
CA,1959,146.60,5.77,83,28.45
CA,1960,143.96,5.67,85,26.72
CA,1961,137.28,5.40,90,22.41
CA,1962,164.06,6.46,75,35.34
CA,1963,249.11,9.81,45,61.21
CA,1964,126.53,4.98,96,17.24
CA,1965,282.39,11.12,40,65.52
CA,1966,170.83,6.73,73,37.07
CA,1967,292.65,11.52,34,70.69
CA,1968,139.66,5.50,89,23.28
CA,1969,393.05,15.47,15,87.07
CA,1970,247.50,9.74,47,59.48
CA,1971,236.53,9.31,51,56.03
CA,1972,156.73,6.17,77,33.62
CA,1973,224.30,8.83,54,53.45
CA,1974,347.89,13.70,19,83.62
CA,1975,218.49,8.60,56,51.72
CA,1976,105.53,4.15,104,10.34
CA,1977,43.69,1.72,115,0.86
CA,1978,326.19,12.84,26,77.59
CA,1979,155.88,6.14,78,32.76
CA,1980,321.38,12.65,27,76.72
CA,1981,121.13,4.77,101,12.93
CA,1982,371.35,14.62,18,84.48
CA,1983,569.64,22.43,1,99.14
CA,1984,282.27,11.11,41,64.66
CA,1985,145.92,5.74,84,27.59
CA,1986,317.26,12.49,29,75.00
CA,1987,122.04,4.80,99,14.66
CA,1988,115.30,4.54,102,12.07
CA,1989,148.00,5.83,82,29.31
CA,1990,98.15,3.86,109,6.03
CA,1991,94.69,3.73,111,4.31
CA,1992,105.01,4.13,105,9.48
CA,1993,340.48,13.40,21,81.90
CA,1994,95.22,3.75,110,5.17
CA,1995,431.96,17.01,10,91.38
CA,1996,280.89,11.06,42,63.79
CA,1997,334.22,13.16,24,79.31
CA,1998,460.38,18.13,7,93.97
CA,1999,243.71,9.59,49,57.76
CA,2000,190.82,7.51,66,43.10
CA,2001,102.92,4.05,107,7.76
CA,2002,149.91,5.90,81,30.17
CA,2003,213.00,8.39,59,49.14
CA,2004,174.68,6.88,70,39.66
CA,2005,292.47,11.51,35,69.83
CA,2006,400.48,15.77,14,87.93
CA,2007,122.72,4.83,98,15.52
CA,2008,143.54,5.65,86,25.86
CA,2009,124.22,4.89,97,16.38
CA,2010,202.64,7.98,60,48.28
CA,2011,344.76,13.57,20,82.76
CA,2012,140.97,5.55,88,24.14
CA,2013,127.94,5.04,95,18.10
CA,2014,76.95,3.03,112,3.45
CA,2015,102.78,4.05,108,6.90
