Season,Total_Rainfall,Difference_from_Average
2014-2015,8.52,-6.29
2013-2014,6.08,-8.73
2012-2013,5.85,-8.96
2011-2012,8.69,-6.12
2010-2011,20.2,+5.39
2009-2010,16.36,+1.55
2008-2009,9.08,-5.73
2007-2008,13.53,-1.28
2006-2007,3.21,-11.60
2005-2006,13.19,-1.62
2004-2005,37.96,+23.15
2003-2004,9.25,-5.56
2002-2003,16.42,+1.61
2001-2002,4.42,-10.39
2000-2001,17.94,+3.13
1999-2000,11.57,-3.24
1998-1999,9.09,-5.72
1997-1998,31.01,+16.20
1996-1997,12.4,-2.41
1995-1996,12.44,-2.37
1994-1995,24.35,+9.54
1993-1994,8.11,-6.70
1992-1993,27.36,+12.55
1991-1992,21,+6.19
1990-1991,11.99,-2.82
1989-1990,7.35,-7.46
1988-1989,8.08,-6.73
1987-1988,12.48,-2.33
1986-1987,7.66,-7.15
1985-1986,17.86,+3.05
1984-1985,12.82,-1.99
1983-1984,10.43,-4.38
1982-1983,31.28,+16.47
1981-1982,10.71,-4.10
1980-1981,8.96,-5.85
1979-1980,26.98,+12.17
1978-1979,19.67,+4.86
1977-1978,33.44,+18.63
1976-1977,12.3,-2.51
1975-1976,7.21,-7.60
1974-1975,14.35,-0.46
1973-1974,14.92,+0.11
1972-1973,21.26,+6.45
1971-1972,7.17,-7.64
1970-1971,12.32,-2.49
1969-1970,7.74,-7.07
1968-1969,27.47,+12.66
1967-1968,16.58,+1.77
1966-1967,22,+7.19
1965-1966,20.44,+5.63
1964-1965,13.68,-1.13
1963-1964,7.93,-6.88
1962-1963,8.38,-6.43
1961-1962,18.79,+3.98
1960-1961,4.85,-9.96
1959-1960,8.18,-6.63
1958-1959,5.58,-9.23
1957-1958,21.13,+6.32
1956-1957,9.54,-5.27
1955-1956,16,+1.19
1954-1955,11.94,-2.87
1953-1954,11.99,-2.82
1952-1953,9.46,-5.35
1951-1952,26.21,+11.40
1950-1951,8.21,-6.60
1949-1950,10.59,-4.22
1948-1949,7.99,-6.82
1947-1948,7.22,-7.59
1946-1947,12.36,-2.45
1945-1946,11.65,-3.16
1944-1945,11.59,-3.22
1943-1944,19.22,+4.41
1942-1943,18.17,+3.36
1941-1942,11.18,-3.63
1940-1941,32.76,+17.95
1939-1940,19.21,+4.40
1938-1939,13.07,-1.74
1937-1938,23.43,+8.62
1936-1937,22.41,+7.60
1935-1936,13.47,-1.34
1934-1935,21.66,+6.85
1933-1934,14.94,+0.13
1932-1933,11.88,-2.93
1931-1932,16.93,+2.12
1930-1931,12.52,-2.29
1929-1930,11.52,-3.29
1928-1929,12.66,-2.15
1927-1928,9.77,-5.04
1926-1927,18.03,+3.22
1925-1926,17.56,+2.75
1924-1925,7.94,-6.87
1923-1924,6.67,-8.14
1922-1923,9.59,-5.22
1921-1922,19.66,+4.85
1920-1921,13.65,-1.16
1919-1920,12.52,-2.29
1918-1919,8.58,-6.23
1917-1918,13.86,-0.95
1916-1917,15.26,+0.45
1915-1916,19.92,+5.11
1914-1915,17.05,+2.24
1913-1914,23.65,+8.84
1912-1913,13.42,-1.39
1911-1912,11.6,-3.21
1910-1911,16.18,+1.37
1909-1910,12.63,-2.18
1908-1909,19.18,+4.37
1907-1908,11.72,-3.09
1906-1907,19.3,+4.49
1905-1906,18.65,+3.84
1904-1905,19.52,+4.71
1903-1904,8.72,-6.09
1902-1903,19.32,+4.51
1901-1902,10.6,-4.21
1900-1901,16.29,+1.48
1899-1900,7.91,-6.90
1898-1899,5.59,-9.22
1897-1898,7.06,-7.75
1896-1897,18.83,+4.02
1895-1896,8.51,-6.30
1894-1895,16.11,+1.30
1893-1894,6.73,-8.08
1892-1893,26.28,+11.47
1891-1892,11.85,-2.96
1890-1891,13.36,-1.45
1889-1890,34.84,+20.03
1888-1889,19.28,+4.47
1887-1888,13.87,-0.94
1886-1887,14.05,-0.76
1885-1886,22.31,+7.50
1884-1885,9.21,-5.60
1883-1884,38.18,+23.37
1882-1883,12.16,-2.65
1881-1882,10.4,-4.41
1880-1881,13.13,-1.68
1879-1880,20.34,+5.53
1878-1879,11.35,-3.46
1877-1878,21.26,+6.45
